NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
StripFilter,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1
Translet,0,0,0,1,0,2,2,0,0,0,0,0,0,26,0,0,0,0,1,11,0,0,0,1
DOMCache,0,0,0,1,0,1,1,0,0,0,0,0,0,27,0,0,0,0,2,1,0,1,0,1
ProcessorVersion,2,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,1,0,1,2,1
XSLTCDTMManager,3.62,1,1,0,9,8,13,0.5,0,2,14,1,0,320,6,0,4,0,0,8,0,0,29,1
AbsoluteIterator,1.12,0,0,0.5,2,0,0,0,1,1,3,0,0,56,0,0,1,0,0,8,0,1,9,1
AnyNodeCounter,3.25,0,0,0.33,2,0,0,0,0,1,3,0,0,89,1,1,0,0,1,4,0,0.33,13,1
DefaultAnyNodeCounter,5.5,0,1,1,1,0,0,0,0,2,2,0,0,40,0,0,0,0,0,2,0,1,11,1
CurrentNodeListFilter,0,0,0,1,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,1
DocumentCache,2.75,14,0,1,6,0,0,1,1,0,16,5,1000,299,1,0,9,0,0,8,0,0.4,22,1
DOMWSFilter,5.5,3,0,1,5,0,0,0,4,0,9,1,0,89,0,0,5,0,0,2,0,1,11,1
EmptyFilter,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,1,1
Filter,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,1,1,0,1,0,1
FilteredStepIterator,2,0,0,1,1,0,0,0,1,2,1,0,0,20,0,0,1,0,0,2,0,1,4,1
StepIterator,1.75,0,0,0.62,1,0,0,0,1,1,2,0,0,94,0,0,3,0,1,8,0,1,14,1
FilterIterator,1.33,0,1,0.5,3,0,0,0,2,1,5,0,0,78,0,0,3,0,0,9,0,0.75,12,1
ForwardPositionIterator,1,0,0,0.38,1,0,0,0,1,1,2,0,0,42,0,0,1,0,0,7,0,1,7,1
KeyIndexIterator,3.67,3,0,1,8,0,0,0,2,2,15,1,0,398,0,0,4,0,0,9,0,0.52,33,1
MultiValuedNodeHeapIterator,3.44,3,2,0.5,2,0,0,0,1,1,11,1,0,242,0,0,8,0,2,9,0,1,31,1
LoadDocument,5.5,4,0,1,14,0,0,1,0,0,31,3,0,221,0,0,1,0,0,6,0,0,33,1
UnionIterator,1,0,0,1,1,1,1,0,1,2,1,0,0,61,1,0,1,0,0,2,0,1,2,1
AxisIterator,2.18,1,1,0,5,0,0,0,1,1,9,1,0,97,0,0,4,0,0,11,0,0.84,24,1
NodeValueIterator,1.44,0,1,0.5,3,0,0,0,1,1,5,0,0,73,0,0,5,0,0,9,0,0.75,13,1
MultipleNodeCounter,4.75,0,0,0.42,5,0,0,0,1,1,11,0,0,74,1,1,1,0,1,4,0,0.33,19,1
TypedNamespaceIterator,3.5,1,0,1,3,0,0,0,0,3,3,1,0,35,0,0,1,0,0,2,0,1,7,1
NamespaceWildcardIterator,1.71,0,0,1,4,0,0,0,1,2,8,0,0,115,0,0,2,0,0,7,0,1,12,1
