NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC,acsm,is_brain
XSAttributeGroupDefinition,0.0,0,0,1.0,0,4,12,0.0,0,0,0,0,0,23,4,0,0,0,1,4,0,0.0,0,1.0,1,0
XSModelGroupDefinition,0.0,0,0,1.0,0,5,15,0.0,0,0,0,0,0,17,3,0,0,0,1,3,0,0.0,0,1.0,0.0811386593204776,False
XSNotationDeclaration,0.0,0,0,1.0,0,2,6,0.0,0,0,0,0,0,24,4,0,0,0,1,4,0,0.0,0,1.0,0.12213968652379009,False
XSParticle,0.0,0,0,1.0,0,5,20,0.0,0,0,0,0,0,30,5,0,0,0,1,5,0,0.0,0,1.0,0.09155511406379878,False
XSObject,0.0,0,0,1.0,0,29,78,0.0,0,0,0,0,0,32,0,0,0,0,38,4,0,0.0,0,1.0,0.03574772724922038,False
XSValue,0.0,0,0,1.0,0,1,2,0.0,0,0,0,0,0,75,0,0,0,0,1,7,0,0.0,0,1.0,0.3888615323271732,False
XSImplementation,0.0,0,0,1.0,0,11,11,0.0,0,0,0,0,0,38,0,0,0,0,1,4,0,0.0,0,1.0,0.19680982607334005,False
XSLoader,0.0,0,0,1.0,0,11,89,0.0,0,0,0,0,0,64,0,0,0,0,2,5,0,0.0,0,1.0,0.322254908425779,False
ShortList,0.0,0,0,1.0,0,3,3,0.0,0,0,0,0,0,31,0,0,0,0,1,3,0,0.0,0,1.0,0.02297476398850672,False
LSInputList,0.0,0,0,1.0,0,2,2,0.0,0,0,0,0,0,19,0,0,0,0,1,2,0,0.0,0,1.0,1,0
XSDecimal,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,37,0,0,0,0,1,6,0,0.0,0,1.0,0.10349215305040958,False
XSDateTime,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,85,0,0,0,0,1,14,0,0.0,0,1.0,0.13608780311312282,False
XSFloat,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,8,0,0,0,0,1,1,0,1.0,0,1.0,0.32000000000000006,False
XSDouble,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,8,0,0,0,0,1,1,0,1.0,0,1.0,1,0
ByteList,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,35,0,0,0,0,3,4,0,0.0,0,1.0,0.13048761819597662,False
ObjectList,0.0,0,0,1.0,0,2,7,0.0,0,0,0,0,0,31,0,0,0,0,5,3,0,0.0,0,1.0,0.046337370546562485,False
XSQName,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,12,0,0,0,0,1,2,0,0.0,0,1.0,0.09876543209876545,False
SchemaDVFactory,0.38,0,0,1.0,2,4,5,0.0,0,0,3,0,0,105,0,0,1,0,5,8,0,0.0,3,1.0,1,False
ValidationContext,0.0,0,0,1.0,0,10,15,0.0,0,0,0,0,0,33,0,0,0,0,5,12,0,0.0,0,1.0,1,0
DTDDVFactory,0.6,0,0,1.0,2,2,2,0.0,0,0,3,0,0,53,0,0,1,0,2,5,0,0.0,3,1.0,0.04299348388952807,False
DatatypeValidator,0.0,0,0,1.0,0,1,1,0.0,0,0,0,0,0,12,0,0,0,0,10,1,0,1.0,0,1.0,1,0
